# Busbibliotheek database versie 29 maart 2026
"vehicle_id";"bus";"license_plate";"id_date";"ud_date";"owner";"spotted";"hansea_id";"intern_id";"VIN";"hide-vin";"old_vehicle_id";"old_license_plate";"operator";"notes"
"013023";"MAN Lion's City G A23";"1-VPZ-070";"23/01/2019";"/";"Van Hoorebeke & Zoon";1;"/";"/";"/";0;"/";"/";"De Lijn";"Huurbus bij De Lijn Destelbergen sinds september 2025."
"013024";"MAN Lion's City A21";"1-WBS-002";"16/04/2019";"/";"Van Hoorebeke & Zoon";0;"/";"/";"/";0;"/";"/";"De Lijn";"Huurbus bij De Lijn Gentbrugge sinds oktober 2025, vervangt 613025."
"018031";"MAN Lion's City A21";"1-VPV-723";"22/01/2019";"/";"De Voeght (Hansea Kampenhout)";1;"/";"/";"/";0;"/";"/";"De Lijn";
"027024";"MAN Lion's City A21";"1-WCY-952";"29/04/2019";"/";"Van Coillie (Hansea Torhout)";0;"6131";"/";"/";0;"/";"/";"De Lijn";
"041048";"Mercedes-Benz Citaro";"2-HDY-689";"17/02/2003";"21/01/2026";"**Onbekend**";1;"/";"/";"/";0;"442322";"1-XVV-723, 1-JAA-420, JQL-034";"De Lijn";
"043018";"Mercedes-Benz Citaro LE Facelift";"1-VFV-666";"25/07/2007";"6/08/2025";"Egmont Autobusuitbating (Ferry Cars)";0;"/";"/";"/";0;"222217, 220217";"XMT-847";"De Lijn";
"052021";"MAN Lion's City A21";"1-VQC-541";"24/01/2019";"/";"Gruson Autobus (Hansea Ieper)";1;"6457";"/";"/";0;"/";"/";"De Lijn";
"060032";"Mercedes-Benz Citaro LE C2 Hybrid";"1-VEY-152";"18/10/2018";"/";"Parmentier Autobus";1;"/";"/";"WEB62850513135958";0;"/";"/";"De Lijn";"Allereerste hybride Mercedes die rijdt voor De Lijn."
"074053";"MAN Lion's City G A23";"1-VPV-781";"22/01/2019";"/";"Geenens (Hansea Vloesberg)";0;"7187";"/";"/";0;"/";"/";"De Lijn";
"074054";"MAN Lion's City G A23";"1-VQC-473";"24/01/2019";"/";"Geenens (Hansea Vloesberg)";0;"7188";"/";"/";0;"/";"/";"De Lijn";
"074055";"Van Hool newAG300";"1-VNR-974";"18/06/2003";"20/05/2022";"Geenens (Hansea Vloesberg)";0;"/";"/";"/";0;"441502";"KWR-628";"De Lijn";
"074056";"MAN Lion's City A21";"1-VRZ-686";"11/02/2019";"/";"Geenens (Hansea Vloesberg)";0;"7189";"/";"/";0;"/";"/";"De Lijn";
"089024";"Iveco Crossway LE 12m";"1-WCP-390";"25/04/2019";"/";"Demuynck & Vansteelandt (bus.be)";1;"/";"/";"/";0;"/";"/";"De Lijn";"Ongeval op 28/12/2020: https://www.hln.be/kortrijk/drie-gewonden-na-botsing-tussen-lijnbus-en-vrachtwagen-in-kortrijk~a94fd3aa/"
"100408";"Van Hool newA309";"1-PVK-025";"1/12/2009";"/";"VBM (Hansea Lommel)";1;"6667";"/";"/";0;"105767";"646-BFE";"De Lijn";
"104023";"VDL Bus & Coach Citea SLE-120";"1-XFE-139";"12/12/2019";"/";"Coach Partners";0;"/";"/";"/";0;"/";"/";"De Lijn";
"104024";"VDL Bus & Coach Citea SLE-120";"1-XFE-156";"12/12/2019";"/";"Coach Partners";0;"/";"/";"/";0;"/";"/";"De Lijn";
"104025";"MAN Lion's City A21";"2-AUL-381";"25/08/2008";"30/01/2025";"Coach Partners";0;"/";"/";"/";0;"331514";"5666P";"De Lijn";
"104026";"Mercedes-Benz Citaro K C2 Hybrid";"2-FFT-275";"24/04/2024";"/";"Coach Partners";0;"/";"/";"/";0;"/";"/";"De Lijn";
"104027";"Mercedes-Benz Citaro K C2 Hybrid";"2-FFT-205";"24/04/2024";"/";"Coach Partners";1;"/";"/";"/";0;"/";"/";"De Lijn";
"104028";"Iveco Crossway LE 12m";"2-FMM-970";"20/06/2024";"/";"Coach Partners";1;"/";"/";"/";0;"/";"/";"De Lijn";
"104029";"VDL Bus & Coach Citea SLE-120";"2-GGL-678";"14/02/2018";"/";"Coach Partners";1;"/";"/";"/";0;"550319";"1-TUD-520";"De Lijn";"Ongeval op 27/08/2024: https://www.hln.be/roeselare/passagierster-gewond-na-botsing-auto-tegen-lijnbus-aan-halte-in-roeselare~a457a2d4/"
"104030";"MAN Lion's City 12 E";"2-GUD-410";"31/03/2025";"/";"Coach Partners";0;"/";"/";"/";0;"/";"/";"De Lijn";
"104031";"MAN Lion's City 12 E";"2-GUD-416";"31/03/2025";"/";"Coach Partners";0;"/";"/";"/";0;"/";"/";"De Lijn";
"104032";"MAN Lion's City 12 E";"2-GUD-424";"31/03/2025";"/";"Coach Partners";0;"/";"/";"/";0;"/";"/";"De Lijn";
"104033";"MAN Lion's City 12 E";"2-GUD-441";"31/03/2025";"/";"Coach Partners";0;"/";"/";"/";0;"/";"/";"De Lijn";
